 q0 $111111_
$ q1 111111_
$y q2 11111_
$yx q3 1111_
$yxx q3 111_
$yxxx q3 11_
$yxxxx q3 1_
$yxxx q4 x1_
$yxx q4 xx1_
$yx q4 xxx1_
$y q4 xxxx1_
$ q4 yxxxx1_
$_ q5s xxxx1_
$_x q5s xxx1_
$_xx q5s xx1_
$_xxx q5s x1_
$_xxxx q5s 1_
$_xxx q6 xy_
$_xx q6 xxy_
$_x q6 xxxy_
$_ q6 xxxxy_
$ q6 _xxxxy_
$_ q7 xxxxy_
$__ q5x xxxy_
$__x q5x xxy_
$__xx q5x xy_
$__xxx q5x y_
$__xxxy q5x _
$__xxxy q5x _
